#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Nov 27 03:48:42 EST 2018,88,88,Assignment5Suite,AddEdgeTest1+ AddEdgeTest2+ AddEdgeTest3+ AddEdgeTest4+ AddNodeTest0+ AddNodeTest1+ DelEdgeTest0+ DelEdgeTest1+ DelEdgeTest2+ DelNodeTest0+ DelNodeTest1+ DelNodeTest2+ NumEdgeTest0+ NumEdgeTest1+ NumNodeTest0+ NumNodeTest1+ , ,AddEdgeTest0- AddNodeTest2- , ,
1,Tue Nov 27 03:55:46 EST 2018,88,0,Assignment5Suite,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest0 AddNodeTest2 , ,
2,Tue Nov 27 04:04:10 EST 2018,83,-5,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2+ DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 , ,DelNodeTest0- DelNodeTest2- NumNodeTest1- , ,
3,Tue Nov 27 04:05:17 EST 2018,100,17,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0+ DelNodeTest1 DelNodeTest2+ NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1+ , , , ,
